from,to,distance
L0,L0,0
L7,L0,19.622
L18,L0,23.368
L26,L0,59.099
L33,L0,38.391
L36,L0,38.065
L38,L0,45.951
L57,L0,43.14
L62,L0,21.924
L63,L0,43.446
L70,L0,20.222
L75,L0,0.504
L76,L0,0.504
L77,L0,1.166
L78,L0,1.82
L79,L0,2.149
L80,L0,0.504
L81,L0,1.33
L82,L0,1.072
L91,L0,0.921
L93,L0,0.803
L99,L0,1.138
L102,L0,0.708
L103,L0,66.789
L106,L0,0.954
L113,L0,18.861
L116,L0,20.552
L122,L0,21.824
L128,L0,71.256
L134,L0,21.601
L135,L0,21.601
L138,L0,48.285
L139,L0,48.285
L141,L0,0.504
L145,L0,17.678
L146,L0,16.645
L147,L0,23.09
L150,L0,1.151
L151,L0,22.753
L153,L0,25.43
L154,L0,25.43
L155,L0,25.518
L156,L0,28.68
L157,L0,28.68
L159,L0,44.141
L162,L0,32.311
L168,L0,6.615
L171,L0,45.606
L173,L0,9.879
L178,L0,48.386
L179,L0,48.386
L185,L0,14.919
L186,L0,18.474
L191,L0,45.718
L203,L0,47.251
L206,L0,20.425
L213,L0,16.121
L222,L0,19.916
L227,L0,11.632
L229,L0,45.457
L231,L0,45.582
L246,L0,30.167
L247,L0,30.274
L249,L0,46.519
L252,L0,46.317
L262,L0,25.484
L271,L0,61.26
L273,L0,62.017
L274,L0,61.029
L292,L0,37.874
L299,L0,50.776
L309,L0,20.4
L310,L0,19.857
L313,L0,37.502
L315,L0,0.582
L321,L0,1.31
L323,L0,20.032
L328,L0,20.189
L333,L0,18.9
L334,L0,18.629
L336,L0,0.664
L338,L0,1.02
L349,L0,1.648
L355,L0,3.196
L361,L0,10.717
L365,L0,12.155
L370,L0,46.226
L371,L0,46.226
L375,L0,46.603
L382,L0,0.504
L385,L0,45.718
L387,L0,61.335
L392,L0,4.001
L393,L0,3.197
L402,L0,4.928
L408,L0,6.352
L411,L0,6.133
L412,L0,5.974
L418,L0,4.429
L423,L0,5.493
L430,L0,85.101
L431,L0,62.33
L437,L0,28.837
L444,L0,55.109
L445,L0,56.494
L469,L0,61.531
L483,L0,84.015
L493,L0,64.207
L495,L0,55.917
L496,L0,47.533
L511,L0,59.693
L527,L0,2.91
L529,L0,6.254
L530,L0,5.974
L540,L0,57.538
L543,L0,54.935
L554,L0,5.974
L556,L0,70.757
L560,L0,95.626
L0,L7,20.251
