from,to,time
L0,L0,0
L7,L0,17
L18,L0,20.06666667
L26,L0,47.63333333
L33,L0,35.48333333
L36,L0,35.6
L38,L0,35.21666667
L57,L0,33.25
L62,L0,21.15
L63,L0,32.61666667
L70,L0,18.56666667
L75,L0,1.583333333
L76,L0,1.583333333
L77,L0,2.816666667
L78,L0,3.6
L79,L0,5.566666667
L80,L0,1.583333333
L81,L0,3.666666667
L82,L0,2.716666667
L91,L0,2.533333333
L93,L0,2.25
L99,L0,3.716666667
L102,L0,2.033333333
L103,L0,55.08333333
L106,L0,2.35
L113,L0,16.1
L116,L0,18.4
L122,L0,22.65
L128,L0,57.85
L134,L0,21.21666667
L135,L0,21.21666667
L138,L0,37.23333333
L139,L0,37.23333333
L141,L0,1.583333333
L145,L0,15.1
L146,L0,14.08333333
L147,L0,18.05
L150,L0,3.333333333
L151,L0,22.95
L153,L0,24.01666667
L154,L0,24.01666667
L155,L0,24.35
L156,L0,27.53333333
L157,L0,27.53333333
L159,L0,40.73333333
L162,L0,27.56666667
L168,L0,9.75
L171,L0,36.23333333
L173,L0,12.23333333
L178,L0,39.03333333
L179,L0,39.03333333
L185,L0,15.1
L186,L0,17.96666667
L191,L0,36.53333333
L203,L0,38.38333333
L206,L0,20.06666667
L213,L0,14.13333333
L222,L0,19.63333333
L227,L0,11.96666667
L229,L0,35.83333333
L231,L0,36.1
L246,L0,28.53333333
L247,L0,29.7
L249,L0,37.35
L252,L0,37.21666667
L262,L0,25.18333333
L271,L0,47.26666667
L273,L0,49.46666667
L274,L0,46.78333333
L292,L0,35
L299,L0,39.23333333
L309,L0,18.3
L310,L0,17.76666667
L313,L0,34.51666667
L315,L0,1.533333333
L321,L0,3.633333333
L323,L0,17.8
L328,L0,18.6
L333,L0,16.46666667
L334,L0,15.83333333
L336,L0,1.833333333
L338,L0,3.6
L349,L0,3.816666667
L355,L0,6.983333333
L361,L0,12.01666667
L365,L0,14.23333333
L370,L0,36.95
L371,L0,36.95
L375,L0,37.06666667
L382,L0,1.583333333
L385,L0,36.53333333
L387,L0,47.55
L392,L0,7.35
L393,L0,5.283333333
L402,L0,7.766666667
L408,L0,9.483333333
L411,L0,9.016666667
L412,L0,8.433333333
L418,L0,7.6
L423,L0,8.233333333
L430,L0,68.45
L431,L0,55.86666667
L437,L0,25.08333333
L444,L0,46.8
L445,L0,48.11666667
L469,L0,54.01666667
L483,L0,63.65
L493,L0,54.56666667
L495,L0,48.93333333
L496,L0,42.61666667
L511,L0,52.01666667
L527,L0,4.816666667
L529,L0,8.966666667
L530,L0,8.433333333
L540,L0,50.66666667
L543,L0,46.58333333
L554,L0,8.433333333
L556,L0,61.75
L560,L0,74.55
L0,L7,17.26666667
L7,L7,0
L18,L7,32.1
L26,L7,40.18333333
L33,L7,35.56666667
L36,L7,33.85
L38,L7,27.76666667
L57,L7,25.78333333
L62,L7,25.51666667
L63,L7,25.16666667
L70,L7,6.283333333
L75,L7,18.53333333
L76,L7,18.53333333
L77,L7,17.96666667
L78,L7,17.96666667
L79,L7,20.71666667
L80,L7,18.53333333
L81,L7,18.81666667
L82,L7,17.85
L91,L7,17.8
L93,L7,18.5
L99,L7,17.41666667
L102,L7,16.65
L103,L7,47.61666667
L106,L7,16.65
L113,L7,8.233333333
L116,L7,8.05
L122,L7,10.8
L128,L7,50.4
L134,L7,7.416666667
L135,L7,7.416666667
L138,L7,29.78333333
L139,L7,29.78333333
L141,L7,18.53333333
L145,L7,7.233333333
L146,L7,6.216666667
L147,L7,10.25
L150,L7,16.46666667
L151,L7,10.05
L153,L7,23.01666667
L154,L7,23.01666667
L155,L7,23.35
L156,L7,21.18333333
L157,L7,21.18333333
L159,L7,26.51666667
L162,L7,19.1
L168,L7,13.18333333
L171,L7,28.78333333
L173,L7,22.23333333
L178,L7,31.58333333
L179,L7,31.58333333
L185,L7,20.51666667
L186,L7,17.78333333
L191,L7,29.08333333
L203,L7,30.93333333
L206,L7,24.45
L213,L7,27.53333333
L222,L7,18.63333333
L227,L7,23.35
L229,L7,28.38333333
L231,L7,28.65
L246,L7,33.96666667
L247,L7,35.13333333
L249,L7,29.9
L252,L7,29.75
L262,L7,29.55
L271,L7,39.81666667
L273,L7,42.01666667
L274,L7,39.33333333
L292,L7,34.41666667
L299,L7,31.76666667
L309,L7,2.266666667
L310,L7,1.733333333
L313,L7,34.31666667
L315,L7,18.7
L321,L7,19.05
L323,L7,6.8
L328,L7,6.733333333
L333,L7,8.583333333
L334,L7,7.95
L336,L7,16.25
L338,L7,17.23333333
L349,L7,17.25
L355,L7,18.78333333
L361,L7,7.9
L365,L7,9.983333333
L370,L7,29.5
L371,L7,29.5
L375,L7,29.61666667
L382,L7,18.53333333
L385,L7,29.08333333
L387,L7,40.1
L392,L7,16.7
L393,L7,16.26666667
L402,L7,14.15
L408,L7,12.33333333
L411,L7,12.13333333
L412,L7,12.58333333
L418,L7,15.06666667
L423,L7,15.7
L430,L7,59.58333333
L431,L7,45.95
L437,L7,24.36666667
L444,L7,46.08333333
L445,L7,47.41666667
L469,L7,44.1
L483,L7,54.8
L493,L7,53.86666667
L495,L7,39.01666667
L496,L7,30.78333333
L511,L7,42.1
L527,L7,16
L529,L7,12.78333333
L530,L7,12.58333333
L540,L7,40.75
L543,L7,36.66666667
L554,L7,12.58333333
L556,L7,51.83333333
L560,L7,65.7
L0,L18,19.81666667
L7,L18,30.63333333
L18,L18,0
L26,L18,64.91666667
L33,L18,53.1
L36,L18,53.21666667
L38,L18,52.48333333
L57,L18,50.51666667
L62,L18,38.75
L63,L18,49.88333333
L70,L18,35.41666667
L75,L18,19.21666667
L76,L18,19.21666667
L77,L18,18.55
L78,L18,19.33333333
L79,L18,21.3
L80,L18,19.21666667
L81,L18,19.4
L82,L18,18.45
L91,L18,19.21666667
L93,L18,18.93333333
L99,L18,19.8
L102,L18,18.5
L103,L18,72.35
L106,L18,19.31666667
L113,L18,32.95
L116,L18,35.25
L122,L18,39.5
L128,L18,75.13333333
L134,L18,35.8
L135,L18,35.8
L138,L18,54.5
L139,L18,54.5
L141,L18,19.21666667
L145,L18,31.95
L146,L18,30.93333333
L147,L18,35.31666667
L150,L18,19.6
L151,L18,39.71666667
L153,L18,42.85
L154,L18,42.85
L155,L18,45.45
L156,L18,61
L157,L18,61
L159,L18,58.33333333
L162,L18,44.41666667
L168,L18,23.28333333
L171,L18,53.5
L173,L18,28.5
L178,L18,56.3
L179,L18,56.3
L185,L18,32.7
L186,L18,35.58333333
L191,L18,53.8
L203,L18,55.65
L206,L18,37.68333333
L213,L18,6.766666667
L222,L18,36.63333333
L227,L18,10.46666667
L229,L18,53.11666667
L231,L18,53.38333333
L246,L18,46.15
L247,L18,47.31666667
L249,L18,54.61666667
L252,L18,54.48333333
L262,L18,42.8
L271,L18,64.53333333
L273,L18,66.73333333
L274,L18,64.05
L292,L18,52.61666667
L299,L18,56.5
L309,L18,31.93333333
L310,L18,31.4
L313,L18,52.11666667
L315,L18,19.81666667
L321,L18,19.36666667
L323,L18,34.63333333
L328,L18,35.43333333
L333,L18,33.3
L334,L18,32.66666667
L336,L18,18.8
L338,L18,20.01666667
L349,L18,19.56666667
L355,L18,22.71666667
L361,L18,25.76666667
L365,L18,28
L370,L18,54.21666667
L371,L18,54.21666667
L375,L18,54.33333333
L382,L18,19.21666667
L385,L18,53.8
L387,L18,64.81666667
L392,L18,24.31666667
L393,L18,22.26666667
L402,L18,23.8
L408,L18,26.45
L411,L18,25.98333333
L412,L18,25.41666667
L418,L18,24.58333333
L423,L18,25.2
L430,L18,50.71666667
L431,L18,54.73333333
L437,L18,22.58333333
L444,L18,42.31666667
L445,L18,43.98333333
L469,L18,52.88333333
L483,L18,63.58333333
L493,L18,45.76666667
L495,L18,47.81666667
L496,L18,41.48333333
L511,L18,50.88333333
L527,L18,21.78333333
L529,L18,25.93333333
L530,L18,25.41666667
L540,L18,49.53333333
L543,L18,45.45
L554,L18,25.41666667
L556,L18,54.76666667
L560,L18,74.48333333
L0,L26,40.3
L7,L26,33.56666667
L18,L26,58.73333333
L26,L26,0
L33,L26,46
L36,L26,50.51666667
L38,L26,12.63333333
L57,L26,42.45
L62,L26,49.61666667
L63,L26,41.83333333
L70,L26,28.88333333
L75,L26,41.56666667
L76,L26,41.56666667
L77,L26,41
L78,L26,41
L79,L26,43.75
L80,L26,41.56666667
L81,L26,41.85
L82,L26,40.9
L91,L26,40.83333333
L93,L26,41.55
L99,L26,40.45
L102,L26,39.7
L103,L26,23.38333333
L106,L26,39.7
L113,L26,29.18333333
L116,L26,27.18333333
L122,L26,30.41666667
L128,L26,26.16666667
L134,L26,31.53333333
L135,L26,31.53333333
L138,L26,14
L139,L26,14
L141,L26,41.56666667
L145,L26,31.68333333
L146,L26,30.66666667
L147,L26,26.48333333
L150,L26,39.51666667
L151,L26,33.26666667
L153,L26,44.48333333
L154,L26,44.48333333
L155,L26,47.55
L156,L26,46.71666667
L157,L26,46.71666667
L159,L26,50.03333333
L162,L26,39.48333333
L168,L26,37.08333333
L171,L26,45.43333333
L173,L26,45.28333333
L178,L26,18.78333333
L179,L26,18.78333333
L185,L26,43.56666667
